"position","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
0,127,53,73,38,82,58,78,74,64,67,53
0.001708,132.75,53.5,73,38,81.75,58.25,78.5,74,64,67,53.75
0.003417,138.5,54,73,38,81.5,58.5,79,74,64,67,54.5
0.005126,144.25,54.5,73,38,81.25,58.75,79.5,74,64,67,55.25
0.006835,150,55,73,38,81,59,80,74,64,67,56
0.00716,152,55.5,73,37.5,80.75,58.75,80,74,63.5,67.25,55.5
0.007484,154,56,73,37,80.5,58.5,80,74,63,67.5,55
0.007809,156,56.5,73,36.5,80.25,58.25,80,74,62.5,67.75,54.5
0.008134,158,57,73,36,80,58,80,74,62,68,54
0.008738,161.25,56.75,73,36.5,80,58,80,74.25,61.5,68,54.5
0.009342,164.5,56.5,73,37,80,58,80,74.5,61,68,55
0.009946,167.75,56.25,73,37.5,80,58,80,74.75,60.5,68,55.5
0.01055,171,56,73,38,80,58,80,75,60,68,56
0.011352,176.25,55.75,72.75,37.75,80.25,58,79.25,75,61,67,55.5
0.012155,181.5,55.5,72.5,37.5,80.5,58,78.5,75,62,66,55
0.012958,186.75,55.25,72.25,37.25,80.75,58,77.75,75,63,65,54.5
0.01376,192,55,72,37,81,58,77,75,64,64,54
0.015356,204.25,55.25,72,37.75,81.25,57.5,77.25,74.75,63.5,65,54
0.016952,216.5,55.5,72,38.5,81.5,57,77.5,74.5,63,66,54
0.018548,228.75,55.75,72,39.25,81.75,56.5,77.75,74.25,62.5,67,54
0.020145,241,56,72,40,82,56,78,74,62,68,54
0.021462,261.25,56,72,39.25,82.25,56.75,77.75,74.5,61.5,67.75,53.5
0.022778,281.5,56,72,38.5,82.5,57.5,77.5,75,61,67.5,53
0.024094,301.75,56,72,37.75,82.75,58.25,77.25,75.5,60.5,67.25,52.5
0.025411,322,56,72,37,83,59,77,76,60,67,52
0.026664,349,56.25,72.5,37.75,82.75,58.5,77.75,76,61,67,52.5
0.027917,376,56.5,73,38.5,82.5,58,78.5,76,62,67,53
0.029171,403,56.75,73.5,39.25,82.25,57.5,79.25,76,63,67,53.5
0.030424,430,57,74,40,82,57,80,76,64,67,54
0.031704,475,57.5,73.5,39.5,82,57.25,79.5,75.75,63.25,67,53.75
0.032985,520,58,73,39,82,57.5,79,75.5,62.5,67,53.5
0.034266,565,58.5,72.5,38.5,82,57.75,78.5,75.25,61.75,67,53.25
0.035546,610,59,72,38,82,58,78,75,61,67,53
0.036845,685,59.25,72.5,37.5,82,58.25,78.25,75.25,61.75,67,53
0.038143,760,59.5,73,37,82,58.5,78.5,75.5,62.5,67,53
0.039442,835,59.75,73.5,36.5,82,58.75,78.75,75.75,63.25,67,53
0.04074,910,60,74,36,82,59,79,76,64,67,53
0.042029,1033,59.75,73.75,36,81.5,58.5,78.75,75.5,63.5,67,53.25
0.043319,1156,59.5,73.5,36,81,58,78.5,75,63,67,53.5
0.044609,1279,59.25,73.25,36,80.5,57.5,78.25,74.5,62.5,67,53.75
0.045898,1402,59,73,36,80,57,78,74,62,67,54
0.04717,1615.25,59.75,73.25,36.75,80.5,58,78.5,74.25,62.5,67,53.75
0.048441,1828.5,60.5,73.5,37.5,81,59,79,74.5,63,67,53.5
0.049712,2041.75,61.25,73.75,38.25,81.5,60,79.5,74.75,63.5,67,53.25
0.050984,2255,62,74,39,82,61,80,75,64,67,53
0.052237,2537.25,62.5,73.25,38.5,81.75,60,79.75,75,64,67,53
0.05349,2819.5,63,72.5,38,81.5,59,79.5,75,64,67,53
0.054744,3101.75,63.5,71.75,37.5,81.25,58,79.25,75,64,67,53
0.055997,3384,64,71,37,81,57,79,75,64,67,53
0.057512,3494.5,64.5,71.5,37.25,80.75,57,78,74.75,63.5,67,52.5
0.059027,3605,65,72,37.5,80.5,57,77,74.5,63,67,52
